,customerkey,gender,name,city,state_code,state,zip_code,country,continent,birthday,order_number,line_item,order_date,delivery_date,storekey,productkey,quantity,currency_code,date,currency,exchange,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,square_meters,open_date
23,129176,Female,Sara Semmens,LOCKSLEY,VIC,Victoria,3665,Australia,Australia,1985-02-07,1356014,2,2018-09-17,Not Delivered,5,1648,2,AUD,2018-09-17,AUD,1.393,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Black,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
24,141179,Female,Paige Dallachy,JUNG,VIC,Victoria,3401,Australia,Australia,1968-10-05,582003,1,2016-08-04,Not Delivered,5,1648,3,AUD,2016-08-04,AUD,1.3114,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Black,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
25,35795,Male,Riley Clegg,MOYARRA,VIC,Victoria,3951,Australia,Australia,1995-08-07,1508056,4,2019-02-16,Not Delivered,5,1320,1,AUD,2019-02-16,AUD,1.4064,Contoso KSU-less key system M38 Black,Contoso,Black,12.41,26.99,501,Home & Office Phones,5,Cell phones,2000.0,2015-12-09
26,554,Female,Claire Ferres,WINJALLOK,VIC,Victoria,3380,Australia,Australia,1947-05-26,1800017,1,2019-12-05,Not Delivered,5,1284,7,AUD,2019-12-05,AUD,1.4648,Contoso Mini Battery Charger Kit E320 Black,Contoso,Black,12.74,24.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,2000.0,2015-12-09
27,554,Female,Claire Ferres,WINJALLOK,VIC,Victoria,3380,Australia,Australia,1947-05-26,1800017,2,2019-12-05,Not Delivered,5,1634,2,AUD,2019-12-05,AUD,1.4648,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Silver,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
28,156006,Male,Jonathan Flanagan,WONTHAGGI,VIC,Victoria,3995,Australia,Australia,1976-11-17,1430011,2,2018-11-30,Not Delivered,5,1634,8,AUD,2018-11-30,AUD,1.3703,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Silver,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
29,181488,Female,Alexis Kaberry,COWES,VIC,Victoria,3922,Australia,Australia,1986-08-12,1437007,4,2018-12-07,Not Delivered,5,1634,1,AUD,2018-12-07,AUD,1.3865,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Silver,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
30,554,Female,Claire Ferres,WINJALLOK,VIC,Victoria,3380,Australia,Australia,1947-05-26,1800017,3,2019-12-05,Not Delivered,5,24,2,AUD,2019-12-05,AUD,1.4648,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,91.93,199.9,101,MP4&MP3,1,Audio,2000.0,2015-12-09
31,190944,Female,Sofia Thornton,LARPENT,VIC,Victoria,3249,Australia,Australia,1951-10-12,1724005,4,2019-09-20,Not Delivered,5,422,8,AUD,2019-09-20,AUD,1.4726,Adventure Works Desktop PC2.33 XD233 Black,Adventure Works,Black,321.05,969.0,303,Desktops,3,Computers,2000.0,2015-12-09
32,133787,Male,Tyler Sellheim,WANDIN NORTH,VIC,Victoria,3139,Australia,Australia,1960-05-02,1678013,3,2019-08-05,Not Delivered,5,1568,2,AUD,2019-08-05,AUD,1.4774,The Phone Company PDA Palm 3.5 inch M810 White,The Phone Company,White,128.76,280.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2015-12-09
33,1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,1965-11-19,1161009,1,2018-03-06,Not Delivered,5,72,1,AUD,2018-03-06,AUD,1.2763,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Blue,22.05,47.95,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
34,177687,Female,Mia Topp,PARAPARAP,VIC,Victoria,3240,Australia,Australia,1948-10-28,1774015,1,2019-11-09,Not Delivered,5,72,4,AUD,2019-11-09,AUD,1.456,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Blue,22.05,47.95,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
35,1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,1965-11-19,1161009,2,2018-03-06,Not Delivered,5,416,1,AUD,2018-03-06,AUD,1.2763,Adventure Works Desktop PC2.33 XD233 Silver,Adventure Works,Silver,321.05,969.0,303,Desktops,3,Computers,2000.0,2015-12-09
36,1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,1965-11-19,1161009,3,2018-03-06,Not Delivered,5,1397,4,AUD,2018-03-06,AUD,1.2763,Contoso Phone System Accessory Handset with Charger M308 Grey,Contoso,Grey,12.41,26.99,501,Home & Office Phones,5,Cell phones,2000.0,2015-12-09
37,1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,1975-07-25,1826040,1,2019-12-31,Not Delivered,5,114,1,AUD,2019-12-31,AUD,1.4238,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Red,82.83,249.99,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
38,2238,Female,Isabelle Cochran,BRUCKNELL,VIC,Victoria,3268,Australia,Australia,1969-10-31,1892008,1,2020-03-06,Not Delivered,5,114,1,AUD,2020-03-06,AUD,1.5087,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Red,82.83,249.99,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
39,19534,Female,Leah Martin,TOOBORAC,VIC,Victoria,3522,Australia,Australia,1964-12-13,1317024,1,2018-08-09,Not Delivered,5,114,1,AUD,2018-08-09,AUD,1.3479,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Red,82.83,249.99,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
40,161493,Male,Cameron Whiddon,MIDDLE PARK,VIC,Victoria,3206,Australia,Australia,1946-08-05,581004,2,2016-08-03,Not Delivered,5,114,1,AUD,2016-08-03,AUD,1.317,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Red,82.83,249.99,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
41,20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,1986-07-14,1826059,1,2019-12-31,Not Delivered,5,1686,8,AUD,2019-12-31,AUD,1.4238,SV Hand Games for students E40 Yellow,Southridge Video,Yellow,3.56,6.99,701,Boxed Games,7,Games and Toys,2000.0,2015-12-09
42,20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,1986-07-14,1826059,2,2019-12-31,Not Delivered,5,374,2,AUD,2019-12-31,AUD,1.4238,Adventure Works Laptop19W X1980 Silver,Adventure Works,Silver,430.38,1299.0,301,Laptops,3,Computers,2000.0,2015-12-09
43,130214,Female,Zoe Coleman,RUTHERGLEN,VIC,Victoria,3685,Australia,Australia,1949-03-20,398001,4,2016-02-02,Not Delivered,5,374,6,AUD,2016-02-02,AUD,1.4173,Adventure Works Laptop19W X1980 Silver,Adventure Works,Silver,430.38,1299.0,301,Laptops,3,Computers,2000.0,2015-12-09
44,20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,1986-07-14,1826059,3,2019-12-31,Not Delivered,5,1720,1,AUD,2019-12-31,AUD,1.4238,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Black,32.25,70.13,702,Download Games,7,Games and Toys,2000.0,2015-12-09
45,20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,1986-07-14,1826059,4,2019-12-31,Not Delivered,5,441,7,AUD,2019-12-31,AUD,1.4238,WWI Desktop PC1.80 E1800 Brown,Wide World Importers,Brown,117.21,229.9,303,Desktops,3,Computers,2000.0,2015-12-09
46,20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,1986-07-14,1826059,5,2019-12-31,Not Delivered,5,82,2,AUD,2019-12-31,AUD,1.4238,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Pink,18.65,40.55,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
47,20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,1986-07-14,1826059,6,2019-12-31,Not Delivered,5,1577,3,AUD,2019-12-31,AUD,1.4238,SV DVD Recorder L200 Black,Southridge Video,Black,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
48,20623,Female,Eva Rendall,CARLYLE,VIC,Victoria,3685,Australia,Australia,1994-03-11,1826020,1,2019-12-31,Not Delivered,5,1640,2,AUD,2019-12-31,AUD,1.4238,Contoso DVD 60 DVD Storage Binder L20 Red,Contoso,Red,7.58,22.89,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
49,20623,Female,Eva Rendall,CARLYLE,VIC,Victoria,3685,Australia,Australia,1994-03-11,1826020,2,2019-12-31,Not Delivered,5,428,1,AUD,2019-12-31,AUD,1.4238,Adventure Works Desktop PC2.33 XD233 Brown,Adventure Works,Brown,321.05,969.0,303,Desktops,3,Computers,2000.0,2015-12-09
50,51314,Female,Bianca Stobie,DUVERNEY,VIC,Victoria,3323,Australia,Australia,1954-06-23,1512011,5,2019-02-20,Not Delivered,5,1616,7,AUD,2019-02-20,AUD,1.3969,Contoso DVD Player M100 Black,Contoso,Black,26.21,56.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
51,99988,Male,Daniel Deen,GLENLEE,VIC,Victoria,3418,Australia,Australia,1962-04-19,1615000,3,2019-06-03,Not Delivered,5,1528,1,AUD,2019-06-03,AUD,1.4374,The Phone Company PDA Phone Unlocked 4.7 inches L550 Black,The Phone Company,Black,100.06,302.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2015-12-09
52,116149,Female,Claire Denton,LOCKWOOD,VIC,Victoria,3551,Australia,Australia,1964-02-20,1032005,2,2017-10-28,Not Delivered,5,1706,3,AUD,2017-10-28,AUD,1.3094,SV Hand Games women M40 Silver,Southridge Video,Silver,4.08,8.88,701,Boxed Games,7,Games and Toys,2000.0,2015-12-09
53,15391,Female,Elizabeth Horsley,MARRAWEENEY,VIC,Victoria,3669,Australia,Australia,1989-01-25,1101001,3,2018-01-05,Not Delivered,5,893,1,AUD,2018-01-05,AUD,1.2753,SV Rechargeable Bluetooth Notebook Mouse E80 White,Southridge Video,White,30.58,59.99,308,Computers Accessories,3,Computers,2000.0,2015-12-09
54,1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,1975-07-25,1879087,1,2020-02-22,Not Delivered,5,419,4,AUD,2020-02-22,AUD,1.515,Adventure Works Desktop PC1.80 ED180 Silver,Adventure Works,Silver,188.13,369.0,303,Desktops,3,Computers,2000.0,2015-12-09
55,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1374006,2,2018-10-05,Not Delivered,5,419,1,AUD,2018-10-05,AUD,1.414,Adventure Works Desktop PC1.80 ED180 Silver,Adventure Works,Silver,188.13,369.0,303,Desktops,3,Computers,2000.0,2015-12-09
56,73070,Male,Tristan Minns,BEALIBA,VIC,Victoria,3475,Australia,Australia,1955-01-19,1370010,1,2018-10-01,Not Delivered,5,419,2,AUD,2018-10-01,AUD,1.3846,Adventure Works Desktop PC1.80 ED180 Silver,Adventure Works,Silver,188.13,369.0,303,Desktops,3,Computers,2000.0,2015-12-09
57,1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,1975-07-25,1879087,2,2020-02-22,Not Delivered,5,1757,5,AUD,2020-02-22,AUD,1.515,MGS MechCommander 2 E123,Tailspin Toys,Black,28.5,55.9,702,Download Games,7,Games and Toys,2000.0,2015-12-09
58,60150,Female,Jasmine Mackay,NORTHLAND CENTRE,VIC,Victoria,3072,Australia,Australia,1964-02-14,766013,1,2017-02-04,Not Delivered,5,1757,1,AUD,2017-02-04,AUD,1.3087,MGS MechCommander 2 E123,Tailspin Toys,Black,28.5,55.9,702,Download Games,7,Games and Toys,2000.0,2015-12-09
59,193929,Male,Elijah Mullen,JUNORTOUN,VIC,Victoria,3551,Australia,Australia,1937-01-25,1749008,1,2019-10-15,Not Delivered,5,1757,2,AUD,2019-10-15,AUD,1.4802,MGS MechCommander 2 E123,Tailspin Toys,Black,28.5,55.9,702,Download Games,7,Games and Toys,2000.0,2015-12-09
60,1626,Female,Mary Leach,NEDS CORNER,VIC,Victoria,3496,Australia,Australia,1985-10-17,1879085,1,2020-02-22,Not Delivered,5,672,2,AUD,2020-02-22,AUD,1.515,Proseware Ink Jet All in one M300 Grey,Proseware,Grey,77.72,169.0,306,"Printers, Scanners & Fax",3,Computers,2000.0,2015-12-09
61,1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,1975-07-25,2061011,1,2020-08-22,Not Delivered,5,425,3,AUD,2020-08-22,AUD,1.3971,Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Black,188.13,369.0,303,Desktops,3,Computers,2000.0,2015-12-09
62,27492,Female,Bianca Coombe,YAMBUK,VIC,Victoria,3285,Australia,Australia,1987-11-04,1813049,6,2019-12-18,Not Delivered,5,1593,6,AUD,2019-12-18,AUD,1.4599,SV DVD 58 DVD Storage Binder M55 Red,Southridge Video,Red,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
63,157872,Female,Angelina Hirschfeld,FORBES,VIC,Victoria,3764,Australia,Australia,1983-08-12,1363007,7,2018-09-24,Not Delivered,5,1593,3,AUD,2018-09-24,AUD,1.3749,SV DVD 58 DVD Storage Binder M55 Red,Southridge Video,Red,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
64,165581,Female,Audrey Harriman,HUME WEIR,VIC,Victoria,3691,Australia,Australia,1970-04-21,1686023,4,2019-08-13,Not Delivered,5,1077,3,AUD,2019-08-13,AUD,1.4783,"Contoso SLR Camera 35"" X358 Black",Contoso,Black,188.19,568.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2015-12-09
65,31236,Female,Abby Warburton,THREE BRIDGES,VIC,Victoria,3797,Australia,Australia,1959-08-08,773005,2,2017-02-11,Not Delivered,5,1624,7,AUD,2017-02-11,AUD,1.3082,Contoso DVD Recorder L220 White,Contoso,White,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
66,165649,Female,Rebecca Moss,WARATAH BAY,VIC,Victoria,3959,Australia,Australia,1978-09-19,1139007,3,2018-02-12,Not Delivered,5,1624,2,AUD,2018-02-12,AUD,1.2758,Contoso DVD Recorder L220 White,Contoso,White,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
67,85080,Female,Lilly Leggatt,BUNG BONG,VIC,Victoria,3465,Australia,Australia,1966-02-27,2233007,1,2021-02-10,Not Delivered,5,1532,3,AUD,2021-02-10,AUD,1.2931,The Phone Company PDA Palm 3.5 inch M810 Black,The Phone Company,Black,128.76,280.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2015-12-09
68,85080,Female,Lilly Leggatt,BUNG BONG,VIC,Victoria,3465,Australia,Australia,1966-02-27,2233007,2,2021-02-10,Not Delivered,5,1074,1,AUD,2021-02-10,AUD,1.2931,A. Datum SLR Camera M142 Orange,A. Datum,Orange,143.48,312.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2015-12-09
69,1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,1990-08-12,1153011,1,2018-02-26,Not Delivered,5,424,7,AUD,2018-02-26,AUD,1.2752,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
70,2512,Female,Matilda Hake,BUNKERS HILL,VIC,Victoria,3352,Australia,Australia,1992-11-13,1526030,1,2019-03-06,Not Delivered,5,424,6,AUD,2019-03-06,AUD,1.4217,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
71,29812,Male,Marcus Napier,ST KILDA ROAD CENTRAL,VIC,Victoria,3004,Australia,Australia,1966-11-19,1287000,2,2018-07-10,Not Delivered,5,424,1,AUD,2018-07-10,AUD,1.3437,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
72,194226,Female,Kayla Cleland,BREAKWATER,VIC,Victoria,3219,Australia,Australia,1939-02-04,780010,1,2017-02-18,Not Delivered,5,424,2,AUD,2017-02-18,AUD,1.3044,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
73,181488,Female,Alexis Kaberry,COWES,VIC,Victoria,3922,Australia,Australia,1986-08-12,1437007,6,2018-12-07,Not Delivered,5,424,3,AUD,2018-12-07,AUD,1.3865,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
74,186894,Female,Stella Brookfield,NERRING,VIC,Victoria,3373,Australia,Australia,1948-02-09,1837046,1,2020-01-11,Not Delivered,5,424,4,AUD,2020-01-11,AUD,1.4545,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
75,1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,1990-08-12,1520023,1,2019-02-28,Not Delivered,5,1467,5,AUD,2019-02-28,AUD,1.4005,Contoso Sharp Touch Screen Phones M910 Black,Contoso,Black,138.42,301.0,503,Touch Screen Phones,5,Cell phones,2000.0,2015-12-09
76,1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,1990-08-12,1520023,2,2019-02-28,Not Delivered,5,1571,3,AUD,2019-02-28,AUD,1.4005,SV DVD Player M100 Black,Southridge Video,Black,26.21,56.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
77,1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,1990-08-12,1520023,3,2019-02-28,Not Delivered,5,1044,5,AUD,2019-02-28,AUD,1.4005,A. Datum SLR Camera X135 Black,A. Datum,Black,207.74,627.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2015-12-09
78,78428,Female,Audrey Zimin,SANDRINGHAM,VIC,Victoria,3191,Australia,Australia,1987-12-07,967004,1,2017-08-24,Not Delivered,5,1137,2,AUD,2017-08-24,AUD,1.2664,"Fabrikam SLR Camera 35"" X358 Orange",Fabrikam,Orange,144.52,436.2,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2015-12-09
79,162300,Male,Aiden Yencken,COONGULLA,VIC,Victoria,3860,Australia,Australia,1976-05-04,1233005,6,2018-05-17,Not Delivered,5,455,1,AUD,2018-05-17,AUD,1.3283,WWI Desktop PC2.33 X2330 White,Wide World Importers,White,304.48,919.0,303,Desktops,3,Computers,2000.0,2015-12-09
